Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Drivers and Barriers to Accelerating the Plant-Based Dairy Alternatives Innovation System – The Case of the Netherlands,Fleur van der Vossen,2023.0,Simona Negro,Koen Beumer,"Increasing pressures on current practices related to dairy production and consumption have urged societies to explore more sustainable alternatives. In this respect, plant-based alternatives to dairy (PBD) products have emerged as a more environmentally responsible option. This study aims to investigate the diffusion of PBD in the Netherlands, as well as the interactions of established incumbents and their involvements in the PBD innovation system. A qualitative event-history analysis from 2006-2022, alongside qualitative interviews with stakeholders, was conducted. Findings indicate systemic barriers to PBD acceleration, including hard institutional failures, capacity and network failures, and technological aspects of nutritional parity.",What are the drivers and barriers to accelerating the plant-based dairy alternatives innovation system in the Netherlands?,12 - Responsible Consumption and Production,"The study addresses the need for sustainable alternatives to dairy production and consumption, aligning with the goal of promoting responsible consumption patterns.",Netherlands,National,Circular Economy & Production,"plant-based dairy alternatives, innovation system, systemic barriers, qualitative analysis",Qualitative Empirical Research,"Qualitative event-history analysis, Interviews",Technological Innovation Systems,,,Netherlands,52.243498,5.634323,Country,vossen_2023.pdf,vossen_2023.png,Matched,Netherlands,52.243498,5.634323
Explaining the founding of renewable energy cooperatives: The effect of social capital in Dutch municipalities,Stefan Geskus,2022.0,Koen Frenken,Thomas Bauwens,"The development of renewable energy cooperatives (RECs) can play a pivotal role in the energy transition and local ownership of energy sources. This research aimed to investigate the role of social capital in the initiation and development of RECs in Dutch municipalities. A regression analysis was performed to investigate the influence of social capital on the founding rate of RECs. Additionally, interviews were conducted with board members from RECs to further investigate the role of social capital and to explore institutional factors influencing the development of RECs. The results showed a positive relationship between the founding rate of RECs and the level of social capital present in municipalities.",What is the role of social capital in the initiation and development of renewable energy cooperatives in Dutch municipalities?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on the development of renewable energy cooperatives, which contribute to local energy ownership and the transition to sustainable energy sources.",Netherlands,National,Energy & Climate,"renewable energy cooperatives, social capital, Energy transition, local ownership","Qualitative Empirical Research, Quantitative Empirical Research","Regression analysis, Interviews",,,,Netherlands,52.243498,5.634323,Country,geskus_2022.pdf,geskus_2022.png,Matched,Netherlands,52.243498,5.634323
The Governance Culture of Sustainability An analysis of the influence of the National Governance Culture on Sustainability Performance,Bas Verbeek,2022.0,,,"The immediate need for sustainable development is increasing. The responsibility for addressing this need lies with countries, but non-state actors must also act. This research uncovers the relationship between National Governance Culture and sustainability performance. A qualitative analysis identifies important political and socio-economic institutions, followed by a quantitative analysis using publicly available data. Multiple regression tests show that an open and inclusive Socio-Economic Structure positively influences Sustainability Performance. Limitations exist due to reliance on public data, but the findings confirm the importance of socio-economic institutions in sustainable development.",How does the National Governance Culture influence the sustainability performance of a country?,"16 - Peace, Justice and Strong Institutions","The research highlights the role of governance structures in influencing sustainability performance, aligning with the goal of promoting peaceful and inclusive societies.",Global,Global/International,Governance & Policy,,"Qualitative Empirical Research, Quantitative Empirical Research","Qualitative analysis, Multiple regression tests",,,,,,,Broad,verbeek_2022.pdf,,Matched,Global,,
From a proto-niche to a niche. The case of Edible Cosmetics,Maria Jose Montenegro Robayo,2022.0,Koen Frenken,Christina Bidmon,,How does Edible Cosmetics develop from a proto-niche into a niche?,,,Global,Global/International,,,Qualitative Empirical Research,,,,,,,,,robayo_2022.pdf,robayo_2022.png,Matched,Global,,
Towards a circular infrastructure in the Netherlands: A Mission-oriented Innovation System analysis,Jip Swartjes,2022.0,"Marko Hekkert, Sanne Bours",Simona Negro,"This research addresses the transition towards a circular economy in the Netherlands, focusing on the infrastructure sector. The aim is to analyze how governance actions target systemic barriers in the innovation system. A Mission-oriented Innovation System (MIS) perspective is proposed, utilizing a five-stage approach for analysis. Data collection involved policy documents, event analysis, workshops, and interviews with experts. Findings reveal three systemic barriers: knowledge diffusion, market formation, and governance coordination. Recommendations for additional governance actions are provided to enhance the transition process.",How do governance actions target systemic barriers in the innovation system to aid the transition towards a circular infrastructure in the Netherlands?,12 - Responsible Consumption and Production,"The research focuses on the transition to a circular economy, which directly relates to sustainable consumption and production patterns.",Netherlands,National,Circular Economy & Production,"Mission-oriented Innovation System, Circular Economy, Governance, systemic barriers, infrastructure",Qualitative Empirical Research,"Workshop, Interviews, Thematic analysis",Mission-oriented Innovation Systems,Utrecht University,,Netherlands,52.243498,5.634323,Country,swartjes_2022.pdf,swartjes_2022.png,Matched,Netherlands,52.243498,5.634323
Exploring the Drivers and Barriers to the Adoption and Implementation of Reusable Medical Devices Case study of the day-cartridge used during cataract surgery,Frank Gunnink,2022.0,"Ellen Moors, Roeland Dijkema",Simona O. Negro,"This research investigates the adoption and implementation of reusable medical devices, specifically the day-cartridge used in cataract surgery, to reduce the environmental impact of disposable devices in Dutch hospitals. The study employs a case study methodology, collecting data through desk research and interviews with stakeholders. Key findings reveal that while the day-cartridge offers time-saving and waste reduction benefits, concerns about cross-contamination and a lack of knowledge among stakeholders hinder its adoption. The research highlights the need for more evidence on safety and a clearer direction for transitioning to circular hospitals.",What are the drivers and barriers to the adoption and implementation of the day-cartridge in Dutch hospitals?,12 - Responsible Consumption and Production,"The research addresses the environmental impact of disposable medical devices and explores sustainable alternatives, aligning with the goal of promoting responsible consumption and production patterns.",Netherlands,National,Circular Economy & Production,"reusable medical devices, cataract surgery, day-cartridge, environmental impact, circular hospitals",Qualitative Empirical Research,"Case study, Semi-structured interviews","Nonadoption, Abandonment, Scale-up, Spread, NASSS Framework, Mission-oriented Innovation Systems",D.O.R.C. Dutch Ophthalmic Research Center (International) B.V,University Medical Center Utrecht,Utrecht,52.243498,5.634323,City,gunnink_2022.pdf,gunnink_2022.png,Matched,Netherlands,52.243498,5.634323
Realising a Just Transition in the Dutch Crop Farming Sector and the Role of Organic Agriculture within this Transition,Stan Rouhof,2022.0,Sanne Akerboom,Gert Jan Kramer,"This thesis addresses the need for a transition in the Dutch crop farming sector, which faces issues like soil depletion and income inequality. It investigates the role of organic agriculture in achieving socially just practices. Using a case study approach, data was collected through semi-structured interviews and desk research, analyzed with NVivo. Findings reveal various injustices in the sector and highlight the benefits of organic agriculture, such as biodiversity preservation and improved farmer financial positions, while also noting its limitations. Recommendations for overcoming injustices and promoting organic practices are provided.",What is the role of organic agriculture within the agricultural transition towards socially just practices in the Dutch crop farming sector?,10 - Reduced Inequalities,"The thesis focuses on social justice issues within the agricultural sector, addressing income inequality and the need for equitable practices.",Netherlands,National,Social Justice & Equity,"Just Transition, Organic Agriculture, Social Justice, Dutch Crop Farming, Sustainability",Qualitative Empirical Research,"Semi-structured interviews, Desk research, Case study","Triple Bottom Line, Just Transition",,,Netherlands,52.243498,5.634323,Country,rouhof_2022.pdf,rouhof_2022.png,Matched,Netherlands,52.243498,5.634323
Coworking the way to sustainability: Motivations and influences on the adoption of a sustainable innovation amongst different age groups,Josephine van der Vlugt,2022.0,Alexander Peine,,"This research investigates the case of the sustainable innovation of Space, a platform that provides coworking spaces (CWSs) for corporate employees, focusing on the underrepresentation of older individuals aged 47+. The study aims to understand the motivations influencing the adoption of Space among different age categories. Using a combined approach of the Technology Acceptance Model (TAM) and Rogers’ Diffusion of Innovation (DOI) theory, 23 semi-structured interviews were conducted. Findings reveal that older individuals are motivated by flexibility, social contact, and workplace quality, but face practical barriers such as distance to CWSs. Recommendations include improving CWS location accessibility and workplace standards to enhance adoption rates.","Why are older people rejecting Space at present, and how can the adoption of Space amongst older employees be maximized?",11 - Sustainable Cities and Communities,"The research emphasizes the importance of flexible working arrangements and sustainable innovations in urban settings, particularly for older individuals who are often overlooked in such initiatives.",Netherlands,National,Urban & Regional Development,"Coworking space, Diffusion of Innovation, Technology Acceptance Model, Sustainability, older adults",Qualitative Empirical Research,Semi-structured interviews,"Technology Acceptance Model, Diffusion of Innovations",,Space,Netherlands,52.243498,5.634323,Country,vlugt_2022.pdf,vlugt_2022.png,Matched,Netherlands,52.243498,5.634323
Accelerating Climate Adaptation Solutions at the Utrechtse Heuvelrug: An Actor-Issue Network Analysis,,2022.0,,,"This thesis investigates the social-ecological system of the Utrechtse Heuvelrug to identify acceleration possibilities for climate adaptation solutions. The research aims to enable stakeholders to implement these solutions effectively. An actor-issue network analysis was conducted, complemented by a power-interest matrix and a PESTEL analysis. Data was collected through desk research and 22 interviews, leading to the identification of 12 key drivers for change. The findings highlight the importance of collaboration among stakeholders to enhance the transition towards a climate-adapted landscape.",How can different stakeholders at the Utrechtse Heuvelrug be enabled to accelerate the implementation of climate adaptation solutions to reach a climate-adapted landscape?,13 - Climate Action,"The research addresses the urgent need for climate adaptation in the Utrechtse Heuvelrug, focusing on stakeholder collaboration to implement solutions that mitigate climate change impacts.","Utrecht, Netherlands",Local,Energy & Climate,"climate adaptation, social-ecological system, stakeholder analysis, PESTEL, actor-issue network",Qualitative Empirical Research,"Actor-issue network analysis, PESTEL analysis, power-interest matrix, Interviews, Workshop",,,,Utrecht,52.090701,5.121563,City,ruijtenberg_2022.pdf,,Matched,Netherlands,52.090701,5.121563
A Case Study on 16 Access and Benefit-Sharing (ABS) Agreements in the Global South,Anniek Roskam,2022.0,Koen Beumer,Ellen Moors,"This study investigates the limited number of access and benefit-sharing (ABS) agreements established under the Nagoya Protocol, focusing on the Global South. The research aims to identify the different approaches to benefit-sharing that have been successfully applied in these agreements. Utilizing seventeen semi-structured interviews and additional written material, the study analyzes 16 successful ABS agreements across nine countries. The findings reveal twenty-three types of benefits, both monetary and non-monetary, and highlight the crucial role of local partners in these agreements.",How are the different approaches of benefit-sharing practically applied in making ABS agreements under the Nagoya Protocol in the Global South?,15 - Life on Land,"The research addresses the conservation of biodiversity and the sustainable use of plant genetic resources, which aligns with the goals of SDG 15.",Global South,Global/International,Ecology & Biodiversity,"access and benefit-sharing, Nagoya protocol, agreements, benefits",Qualitative Empirical Research,Semi-structured interviews,,,,,,,Broad,roskam_2022.pdf,roskam_2022.png,Matched,Global,,
Ex post assessment of SME’s expected and realised collaborative innovation benefits,Tim Johannes Antonius Tuïnk,2022.0,Matthijs Janssen,,"This thesis explores the innovation challenges faced by small and medium enterprises (SMEs) and the role of collaborative innovation in overcoming these challenges. The objective is to assess the discrepancies between SMEs' expected and realized benefits from collaborative innovation projects. An exploratory research design was employed, involving interviews with 15 project participants from Dutch policy-supported projects. Findings indicate that while SMEs primarily seek expertise and market access, many expected benefits, such as cost and time savings, are often unmet. Successful projects are characterized by trust, motivation, and competent partnerships, suggesting that understanding these dynamics can enhance collaborative innovation outcomes.",How and why do the expected vs. realised benefits of SME participation in collaborative innovation projects differ?,"9 - Industry, Innovation and Infrastructure","The research focuses on enhancing innovation capabilities in SMEs, which are crucial for economic growth and sustainable development.",Netherlands,National,Circular Economy & Production,"SMEs, collaborative innovation, expected benefits, realised benefits, innovation projects",Qualitative Empirical Research,Interviews,"Relational View, Resource-Based View",Innovencio,,Netherlands,52.243498,5.634323,Country,tuink_2022.pdf,tuink_2022.png,Matched,Netherlands,52.243498,5.634323
How philanthropic foundations act as field-builders influencing justice discourses in land conservation,Sarah Hübsch,2023.0,Agni Kalfagianni,,"This research investigates the role of philanthropic foundations as field-builders in conservation governance, focusing on their influence on justice discourses. The study aims to understand how these foundations interpret justice through their funding and collaboration activities. A qualitative comparative research approach was employed, analyzing data from 12 foundations and conducting interviews with representatives. Findings reveal that foundations prioritize justice issues related to Indigenous and local communities, promoting their representation in decision-making processes. The research highlights the foundations' significant role in shaping justice norms within the conservation field.",How are philanthropic foundations functioning as field-builders influencing justice discourses in activities contributing to land conservation?,15 - Life on Land,"The research focuses on how philanthropic foundations influence justice discourses in land conservation, which directly relates to the sustainable use and protection of terrestrial ecosystems as outlined in SDG 15.",Global,Global/International,Governance & Policy,"Philanthropic foundations, justice discourses, land conservation, field-builders, sustainable development",Qualitative Empirical Research,"Discourse analysis, Semi-structured interviews",Pluralistic Justice Framework,,"Gordon, Betty Moore Foundation, William, Flora Hewlett Foundation, The David, Lucile Packard Foundation, MacArthur Foundation, Doris Duke Charitable Foundation, Ford Foundation, Foundation for the Carolinas, Bill, Melinda Gates Foundation, The Wyss Foundation, Howard G. Buffett Foundation, Walton Family Foundation, New Venture Fund",,,,Broad,hubsch_2022.pdf,,Matched,Global,,
Exploring a safe and just operating space for the Dutch energy system,Daan Koomen,2022.0,Nick Verkade,,"This thesis explores the concept of a safe and just operating space for the Dutch energy system, aiming to identify the ecological and social boundaries necessary for sustainable energy production and consumption. The research employs a mixed methodology, including literature studies and interviews, to analyze the interactions between the energy system and the doughnut economy framework. The findings reveal critical insights into the necessary transitions within the energy sector to align with sustainable practices and ensure social equity.",How can the Dutch energy system operate within a safe and just space as defined by the doughnut economy framework?,7 - Affordable and Clean Energy,This SDG applies as the research focuses on creating a sustainable energy system that meets the needs of society while respecting ecological boundaries.,Netherlands,National,Energy & Climate,"doughnut economy, energy system, ecological boundaries, social boundaries, sustainable transitions","Literature-Based Research, Qualitative Empirical Research","Literature study, Interviews","Doughnut Economics, Socio-technical transitions",,,Netherlands,52.243498,5.634323,Country,koomen_2022.pdf,koomen_2022.png,Matched,Netherlands,52.243498,5.634323
Mental Models of the Drivers of Corporate Sustainability and the Role of Cross-Functional Communication on their Content and Structure,Mariana Butrich Cisneros,2021.0,Karlijn van den Broek,,"Since corporate sustainability is a cross-functional challenge that has become an essential part of business, it is necessary to examine the drivers of its implementation. Cognitive structures in the form of mental models are relevant in the field of corporate sustainability as the way individuals in organizations make sense of these drivers will guide their decision-making and actions. This research aims to shine a light on those drivers and the role of cross-functional communication on the mental models of the drivers of corporate sustainability in a cross-functional environment. The findings show that the mental models of the drivers per functional area are aligned with their tasks and responsibilities and that people within functional areas have more similar mental models than across functional areas.",What are the drivers of corporate sustainability and how does cross-functional communication influence the mental models of these drivers?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on corporate sustainability, which is essential for promoting responsible consumption and production practices within organizations.",,Local,Governance & Policy,"corporate sustainability, drivers, mental models, cross-functionality, cross-functional communication",Quantitative Empirical Research,"Mental model elicitation procedure, Cross-Functional Communication Survey",,,,,,,Broad,cisneros_2021.pdf,cisneros_2021.png,Matched,,,
FUNDING FOR THE FUTURE: ASSESSING PHILANTHROPIC FOUNDATIONS’ CONTRIBUTIONS TO TRANSFORMATIVE CLIMATE ACTION,Harlee J. Richards,2023.0,Agni Kalfagianni,,"This research investigates the role of philanthropic foundations in climate governance, focusing on their contributions to transformative climate action. The aim is to assess how these foundations support systemic, long-term, and just climate initiatives. A qualitative document analysis was conducted on the top five philanthropic foundations funding climate action globally. The findings reveal that while these foundations contribute to low-emission pathways, they neglect climate resilience and justice considerations, limiting their transformative potential. The research highlights the need for a broader approach that incorporates justice in climate action strategies.",How do philanthropic foundations contribute to transformative climate change?,13 - Climate Action,"The research focuses on the contributions of philanthropic foundations to climate action, emphasizing their role in supporting initiatives that aim to mitigate climate change.",Global,Global/International,Energy & Climate,"Philanthropic foundations, climate action, transformative change, climate governance, justice considerations",Qualitative Empirical Research,"Qualitative Document Analysis, Thematic analysis",Transformational Change Theory,,"Hewlett Foundation, Oak Foundation, MacArthur Foundation, Packard Foundation, Bloomberg Philanthropies",,,,Broad,richards_2023.pdf,richards_2023.png,Matched,Global,,
Value Communication In Successful Startup Resource Strategies,Linda Uittenbogaard,2021.0,Giovanna Capponi,,"This research explores the importance of tailored value communication strategies in acquiring financial resources for sustainable product-based startups. The study aims to identify typical stakeholder value communication strategies and their contribution to the dynamic acquisition of financial resources. Using an abductive, semi-structured research design, ten interviews with sustainable startup founders were conducted, supplemented by desk research. Findings reveal a spectrum of financial stakeholder types, each with unique values and communication preferences. The research highlights the significance of understanding these differences to effectively engage stakeholders and secure necessary funding.","What are typical stakeholder value communication strategies to acquire essential financial resources in sustainable product-based startups, and how are these contributing to the dynamic acquisition of financial resources of the startup?","9 - Industry, Innovation and Infrastructure","The research focuses on enhancing innovation in sustainable startups, which is crucial for building resilient infrastructure and fostering sustainable industrialization.",Global,Global/International,Circular Economy & Production,"Value Communication, Startup, Financial Resources, Sustainable Business, Stakeholder Strategies",Qualitative Empirical Research,Semi-structured interviews,"Resource-Based View, Stakeholder Theory",,,,,,Broad,uittenbogaard_2021.pdf,uittenbogaard_2021.png,Matched,Global,,
Design for Sustainability: the perspectives of EU residents,Janneke Pruijsen,2021.0,"Kieran Campbell-Johnston, Walter Vermeulen",Blanca Corona Bellostas,"This research explores the perspectives of EU residents on design for sustainability. The aim is to understand how attitudes towards sustainability influence consumer behavior and policy. A mixed methods approach was employed, including interviews, surveys, and focus groups to gather qualitative and quantitative data. The findings reveal significant variations in attitudes and highlight the importance of stakeholder engagement in promoting sustainable design practices.",How do the perspectives of EU residents influence the implementation of design for sustainability?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on consumer attitudes and behaviors towards sustainable design, which are crucial for promoting responsible consumption.",European Union,Regional,Circular Economy & Production,"Design for Sustainability, EU residents, consumer behavior, sustainability attitudes",Mixed Methods Research,"Interviews, Survey, Focus groups, Content analysis",,,,European Union,50.0,10.0,Broad,pruijsen_2021.pdf,pruijsen_2021.png,Matched,Europe,,
The Drivers and Barriers for a Circular Economy in the Built Environment of the Netherlands,Patrick Springvloed,2021.0,Frank van Laerhoven,,"One of the main contributors to the Dutch GDP is the construction sector, accounting for 9% and producing 70 billion euros each year. However, the sector is also one of the largest contributors when it comes to CO emissions and consumption of materials. To improve sustainability in the sector, circularity might be a useful means, however, a pathway to implement a circular economy in the sector needs to be created. Therefore, important barriers and drivers for implementing circular practices needed to be analysed. This research has thus answered the research question ‘What are the barriers and drivers for implementing circular practices by Dutch SMEs in the construction sector of the Netherlands?’. Academic theory has been tested by means of semi-structured interviews with SMEs, which have been analysed using inductive coding. This research has identified ‘financial risk’, ‘resistance to change’, ‘lack of awareness’, ‘difficulty to measure circularity’ and ‘regulation hindering circular innovation’ as the main barriers, whereas ‘technological advancements’, ‘new rules and regulations’, ‘collaboration’, ‘promoting circularity’, ‘intrinsic motivation’, ‘digital innovation’ and ‘creating awareness’ were the main drivers.",What are the barriers and drivers for implementing circular practices by Dutch SMEs in the construction sector of the Netherlands?,11 - Sustainable Cities and Communities,"The research focuses on improving sustainability in the construction sector, which is crucial for developing sustainable cities and communities.",Netherlands,National,Circular Economy & Production,"Circular Economy, construction sector, barriers, drivers, SMEs",Qualitative Empirical Research,Semi-structured interviews,,,,Netherlands,52.243498,5.634323,Country,springvloed_2021.pdf,springvloed_2021.png,Matched,Netherlands,52.243498,5.634323
Effectiveness of Wild Pollinator Governance Arrangements in Germany and England,Carina Bindel,2021.0,Hens Runhaar,Rak Kim,"The abundance and diversity of wild pollinators have experienced a substantial decline in Europe in the last 50 years, primarily due to habitat losses from agricultural intensification and landscape fragmentation. This research analyzes governance arrangements in Germany and England, which have developed their own policies to address this decline. Using expert interviews and desk research, the study evaluates the effectiveness of these approaches concerning farmer participation. Findings indicate that Germany's top-down approach is effective but suffers from low farmer motivation, while England's interactive initiatives face limitations in farmer participation. A systemic approach is recommended to enhance governance effectiveness.",How do the governance arrangements in Germany and England affect farmer participation in wild pollinator protection initiatives?,15 - Life on Land,"This research addresses the decline of wild pollinators, which are crucial for biodiversity and ecosystem health, aligning with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.","Germany, England",National,Ecology & Biodiversity,"agricultural intensification, wild pollinator decline, agro-ecosystems, governance arrangements, mode of governance, impact assessment, lesson-drawing",Qualitative Empirical Research,"Expert interviews, Desk research",,,,Germany,51.163818,10.447831,Country,bindel_2021.pdf,bindel_2021.png,Matched,Germany; United Kingdom,51.163818|52.531021,10.447831|-1.264906
Green fertilization for soil sustainability and biodiversity. Assessing the sustainability potential of an innovation in cultivated arable farming practices.,Teun Melis B.Sc.,2021.0,Hens Runhaar,Koen Beumer,"The Dutch cultivated arable farming sector is known internationally for its efficiency and high production, but the farming practices used to achieve this are deemed unsustainable. Many of the sustainability issues in this sector are related to soil. As a result, agricultural soil sustainability management has become an important avenue in the search for sustainability in agriculture. Green fertilization, the practice of growing certain crops to plow through the soil for their sustainability and biodiversity enhancing qualities can help solve these issues arising from intensively used agricultural land. This research identifies four functions by which green fertilization crops contribute to sustainability and evaluates the effectiveness of current practices through agricultural innovation system analysis. The research assesses factors that drive and inhibit uptake of more environmentally sustainable forms of green fertilization and provides policy recommendations.",How can green fertilization practices be effectively implemented to enhance sustainability and biodiversity in the Dutch cultivated arable farming sector?,15 - Life on Land,This SDG applies as the research focuses on enhancing soil sustainability and biodiversity through agricultural practices.,Netherlands,National,Circular Economy & Production,"Green fertilization, agricultural soil, Agricultural Innovation System (AIS), sustainable agriculture",Qualitative Empirical Research,Agricultural innovation system analysis,,,,Netherlands,52.243498,5.634323,Country,melis_2021.pdf,melis_2021.png,Matched,Netherlands,52.243498,5.634323
Environmental implications of zero-waste music festivals,Maria Bosser Carenys,2023.0,Jesús Rosales Carreón,Ric Hoefnagels,"This thesis explores the environmental implications of zero-waste music festivals, focusing on the case study of the Bioritme festival. The aim is to assess the effectiveness of waste management systems in reducing environmental impacts. A mixed methods approach is employed, combining material flow analysis and environmental impact assessments. The findings indicate that implementing zero-waste measures can significantly reduce resource consumption and greenhouse gas emissions, highlighting the potential for music festivals to contribute to sustainability efforts.",What are the environmental implications of implementing zero-waste measures in music festivals?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on waste management and resource efficiency in the context of music festivals, aiming to promote sustainable practices.",Global,Local,Circular Economy & Production,"zero-waste, music festivals, environmental impact, waste management, Sustainability",Mixed Methods Research,"Case study, Material flow analysis, Environmental impact assessment",,,Bioritme,,,,Broad,carenys_2021.pdf,,Matched,Global,,
Changing company habitual and routine practices towards hybrid working post-COVID-19 from a social practice theory perspective,Laurens Padding,2021.0,Verkade N.,,"This research investigates how the COVID-19 crisis has influenced the business practices of RoyalHaskoningDHV (RHDHV) in the Netherlands, focusing on the transition to hybrid working. The aim is to assess the potential for reducing carbon emissions through changes in work habits. Using social practice theory, semi-structured interviews were conducted with employees to explore their experiences and preferences regarding hybrid working. Findings indicate a desire for flexibility in work locations and hours, highlighting the need for improved digital tools and skills for effective hybrid meetings. The study concludes that a well-implemented hybrid model can lead to reduced travel and energy use, contributing to sustainability goals.",How does the COVID-19 crisis affect business practices of RoyalHaskoningDHV and how can this reduce carbon emissions through less travel and energy use?,13 - Climate Action,"The research focuses on reducing carbon emissions through changes in working practices, aligning with the goal of combating climate change.",Netherlands,National,Energy & Climate,"hybrid working, social practice theory, carbon emissions, RoyalHaskoningDHV, COVID-19",Qualitative Empirical Research,Semi-structured interviews,Social Practice Theory,Royal HaskoningDHV,,Netherlands,52.243498,5.634323,Country,padding_2021.pdf,padding_2021.png,Matched,Netherlands,52.243498,5.634323
Analysis of the Dutch Mission-oriented Innovation System for sustainable aviation,Julian N.J. van Arkel,2021.0,Joeri Wesseling,,"This thesis explores the Dutch Mission-oriented Innovation System (MIS) for sustainable aviation, addressing the urgent need for transformative change in the aviation sector to reduce carbon emissions. The research employs a qualitative methodology, including 32 semi-structured interviews, to analyze the current state of the MIS and identify systemic barriers. Key findings reveal governance issues, insufficient support for Sustainable Aviation Fuels (SAFs), and a lack of a long-term policy framework for technological innovations. The study provides recommendations for enhancing mission governance actions to effectively target these barriers and achieve sustainability goals.",Do the ongoing or planned mission governance actions in support of the Dutch MIS to reduce CO2 in international aviation adequately target the barriers of that MIS?,13 - Climate Action,"The research focuses on reducing carbon emissions in the aviation sector, directly contributing to climate action and addressing the urgent need for sustainable practices in a high-emission industry.",Netherlands,National,Energy & Climate,"sustainable aviation, Mission-oriented Innovation System, carbon reduction, Sustainable Aviation Fuels, innovation governance",Qualitative Empirical Research,"Semi-structured interviews, Thematic analysis",Mission-oriented Innovation Systems,Ministry of Infrastructure and Water Management,"KLM, Schiphol Group, Airbus, Corendon, Easyjet, Transavia, Royal Schiphol Group, Neste",Netherlands,52.243498,5.634323,Country,arkel_2021.pdf,arkel_2021.png,Matched,Netherlands,52.243498,5.634323
Does money grow on trees? A case study on the long-term financial and socio-economic performance of silvopastoral agroforestry practices in the Netherlands,Rachel Wennink,2021.0,René Verburg,Pita Verweij,"Agriculture has a large environmental impact and contributes to various ecological problems and therefore farmers are increasingly looking for more eco-friendly agricultural models. A promising example of such a model is agroforestry, which is based on the re-introduction of trees into the agricultural landscape. In this research, the financial aspects of agroforestry are studied in more detail, answering the research question: ‘What is the long-term financial and socio-economic performance of silvopastoral agroforestry practices in the Netherlands?’ Six case studies were performed, and interviews were held with farmers to get an overview of the costs associated with agroforestry. The results indicate that agroforestry projects are generally profitable and resistant to fluctuations in yield and sales.",What is the long-term financial and socio-economic performance of silvopastoral agroforestry practices in the Netherlands?,15 - Life on Land,This SDG applies as the research focuses on sustainable agricultural practices that enhance biodiversity and ecosystem services through agroforestry.,Netherlands,National,Circular Economy & Production,"agroforestry, silvopastoral, financial performance, socio-economic analysis, ecosystem services",Qualitative Empirical Research,"Case study, Interviews",,,,Netherlands,52.243498,5.634323,Country,wennink_2021.pdf,wennink_2021.png,Matched,Netherlands,52.243498,5.634323
Setting up a repair industry: A study into key lessons to be learned from the success of the automotive repair industry,Sebastiaan Joosten,2021.0,Simona Negro,,"This thesis explores the transition from a linear to a circular economy, focusing on the automotive repair industry in the Netherlands. The aim is to identify key lessons that can be applied to other sectors to enhance repair practices. Data was collected through desk research and interviews with industry experts. Findings indicate that the success of the automotive repair industry is linked to the establishment of a repairable product design, the availability of repair information, and the necessity for competitive practices in the market. The study concludes with guidelines for developing repair industries in other sectors.",What lessons can be learned from the processes that have led to the success of the automotive repair and maintenance industry?,12 - Responsible Consumption and Production,"The automotive repair industry exemplifies practices that extend product lifetimes and reduce waste, aligning with the goal of promoting sustainable consumption and production patterns.",Netherlands,National,Circular Economy & Production,"automotive repair, Circular Economy, repair industry, Sustainability, product lifetime",Qualitative Empirical Research,"Desk research, Semi-structured interviews",Circular Economy,PBL Netherlands Environmental Assessment Agency,,Netherlands,52.243498,5.634323,Country,joosten_2021.pdf,joosten_2021.png,Matched,Netherlands,52.243498,5.634323
