Title,Author(s),Year,Master Track,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
EXPLORING OPPORTUNITIES OF ADDRESSING CONFLICTS BETWEEN FISHERIES AND OFFSHORE WIND ENERGY INDUSTRY −FROM A STAKEHOLDER PARTICIPATION PERSPECTIVE,Yi-Sin Chen,2022.0,Earth Systems Governance,Frank van Laerhoven,Agni Kalfagianni,"The increasing demand for renewable energy and the developing climate awareness has accelerated the growth of wind energy. This research presents the opportunities of fisheries stakeholders involved in developing offshore wind farms in the UK and Taiwan, mainly focusing on Taiwan. The aim is to reduce or prevent the conflict between the offshore wind industry and fishery in Taiwan by comparing practices of stakeholder participation in the UK with those in Taiwan. Through document analysis and interviews with stakeholders, it is found that participation mechanisms could lead to the dominance of empirical data and technocrats, while the UK case provides more room for fishery stakeholders to involve.","How does fisheries stakeholder participation play a role in the planning process of offshore wind farms in Taiwan and the UK, thereby impacting, avoiding, solving, or mitigating conflict?",7 - Affordable and Clean Energy,"This research addresses the development of offshore wind energy, which is a crucial component of transitioning to renewable energy sources, thereby contributing to affordable and clean energy goals.","Taiwan, United Kingdom",Local,Energy & Climate,"offshore wind energy, fisheries, conflict, stakeholder participation",Qualitative Empirical Research,"Document analysis, Semi-structured interviews",,,,Taiwan,23.973937,120.982018,Country,,chen_2022.pdf,chen_2022.png,Matched,Taiwan; United Kingdom,23.973937|54.702354,120.982018|-3.276575
"Community renewable energy (CRE): governed democratically? – An analysis of democratic legitimacy in the governance of community renewable energy initiatives in Utrecht, The Netherlands",N.W.R. (Nenya) Jochemsen,2022.0,Earth Systems Governance,Dr. H.L.P. (Heleen) Mees,Dr. Ir. D.L.T. (Dries) Hegger,"One of the biggest challenges of the 21st century is to shift from finite and fossil fuel-based energy sources to renewable and clean energy sources, in order to mitigate climate change. It is crucial that this transition enfolds democratically, to avoid the risk of exacerbating social inequalities within and between communities, instead increasing effectiveness and legitimacy of the transition and its outcomes. Practitioners and scholars increasingly point to community renewable energy (CRE) initiatives as legitimate agents in governing a democratic energy transition. In an attempt to fill the empirical knowledge gap on the often-assumed democratic legitimacy of CRE initiatives, the following research question is posed: How and to what extent is democratic legitimacy pursued and met by community renewable energy (CRE) initiatives in their governance of energy generation projects in the city of Utrecht? In answering this question, an analytical framework of democratic legitimacy, operationalized by indicators borrowed from literature on energy democracy, was applied to governance practices of CRE in Utrecht.",How and to what extent is democratic legitimacy pursued and met by community renewable energy (CRE) initiatives in their governance of energy generation projects in the city of Utrecht?,7 - Affordable and Clean Energy,This SDG applies as the research focuses on community renewable energy initiatives that aim to provide clean energy solutions while ensuring democratic governance.,"Utrecht, Netherlands",Local,Energy & Climate,"community renewable energy, democratic legitimacy, Energy transition, Utrecht","Mixed Methods Research, Qualitative Empirical Research","Interviews, Document analysis, Comparative case study",,,"Buurtstroom, Rijne Energie, Oog voor Warmte, Energie-U",Utrecht,52.090701,5.121563,City,,jochemsen_2022.pdf,jochemsen_2022.png,Matched,Netherlands,52.090701,5.121563
Flexibility in low-carbon nitrogenous fertilizer industries,Felix Olivier Alkemade,2022.0,Energy & Materials,Wina Crijns-Graus,Katerina Kermeli,"This study examines the demand response potential of a European low carbon fertilizer production facility in 2030. The aim is to analyze the technical and economic demand response potentials through a cost minimization linear programming model. The research estimates energy consumption profiles for a fictive European fertilizer plant based on existing facilities and evaluates three decarbonization pathways. Findings indicate that while a CCS system increases electricity consumption, the Green Ammonia scenario shows a potential economic demand response of 3.6% with a peak shifting potential of 16.6% annually. The results highlight the importance of optimizing electrolyzer capacity to maximize demand response potential.",What is the demand response potential of a European low carbon fertilizer production facility in 2030?,12 - Responsible Consumption and Production,"The study addresses the need for reducing energy consumption and greenhouse gas emissions in the fertilizer industry, aligning with sustainable production practices.",Europe,Regional,Energy & Climate,,Mixed Methods Research,Cost minimization linear programming model,,,"OCI Nitrogen, Yara Sluiskil",,,,Broad,,alkemade_2022.pdf,alkemade_2022.png,Matched,Europe,,
Scaling impact of grassroots initiatives for sustainability within food policy councils,Francesca Fiore,2022.0,International Development,Giuseppe Feola,Francesca Pilo,"This thesis investigates the role of grassroots initiatives for sustainability (GISs) in the formation of food policy councils in the Metropolitan Region of Amsterdam and the Plain of Lucca. The aim is to understand how GISs scale their impact through platforms that foster stakeholder interactions. Employing Event-Structure-Analysis, the research reconstructs the history of FPCs and reveals that GISs exert significant influence by adopting various roles over time. The findings suggest that the political agency of GISs is crucial for their scaling, indicating a need for integrating political conceptualizations into sustainability transition research.",How do grassroots initiatives for sustainability scale their impact through food policy councils?,11 - Sustainable Cities and Communities,"The research focuses on grassroots initiatives that contribute to sustainable urban food systems, aligning with the goal of making cities inclusive, safe, resilient, and sustainable.","Amsterdam Metropolitan Area, Netherlands, and the Plain of Lucca, Italy",Local,Governance & Policy,"Grassroots Initiatives for Sustainability, Food Policy Council, Scaling, Political Agency, Event-Structure-Analysis",Qualitative Empirical Research,"Event-Structure-Analysis, Semi-structured interviews","Socio-technical transitions, Constituent, Constituted Power",,"Metropolitan Region of Amsterdam Food Policy Council, Plain of Food of Lucca",Amsterdam,52.37308,4.892453,City,Abstract too short,fiore_2022.pdf,fiore_2022.png,Matched,Netherlands; Italy,52.243498|42.638426,5.634323|12.674297
The Relevance of Blockchain in Commons Governance,Constantijn Frederik Arnold Jan Simons,2022.0,Earth Systems Governance,Frank van Laerhoven,Joost Vervoort,"This thesis explores the intersection of blockchain technology and commons governance, aiming to develop a theoretical framework for implementing blockchain in neighborhood commons. The research highlights the rapid development of blockchain and its potential to enhance governance effectiveness in physical commons. Through a synthesis of existing literature and expert interviews, the study identifies key design considerations and challenges in integrating digital frameworks with physical governance. Findings suggest that while blockchain holds promise for improving governance, significant technical and philosophical challenges must be addressed. The thesis concludes with recommendations for future research to optimize the proposed framework.",What potentials does a blockchain application hold to improve governance of a neighbourhood commons?,"16 - Peace, Justice and Strong Institutions","The research addresses governance challenges in commons, emphasizing the role of blockchain in enhancing institutional effectiveness and transparency.",,Local,Governance & Policy,,"Literature-Based Research, Qualitative Empirical Research",Expert interviews,"Ostrom's Principles, Affordances",,,,,,Broad,Abstract too short,simons_2022.pdf,simons_2022.png,Matched,,,
Greenhouse gas emission coverage and reduction potentials of scope 3 emissions in car manufacturing,Jelle Smeets,2022.0,Energy & Materials,"Dr. Robert Harmsen, Drs. Mark Roelfsema",,"This Master’s thesis assesses the current ambition of major car companies on reducing scope 3 emissions and the current state of their announced reduction targets. We investigated the current target landscape until mid-2022 and the total emission coverage of these targets in car supply chains. An in-depth analysis of upstream reduction strategies from the car companies’ sustainability reporting was conducted, and potential emission reductions based on electric vehicle targets were calculated. The findings indicate that upstream reduction targets are limited, while downstream targets show higher coverage. Recommendations include better integration of corporate EV targets in national policies.",To what extent do the current climate targets presented by car companies compare to national climate action under the Paris Agreement?,13 - Climate Action,"The thesis focuses on greenhouse gas emissions in the car manufacturing sector and evaluates corporate climate targets in relation to national climate action, directly addressing climate change mitigation.",Global,Global/International,Energy & Climate,,"Literature-Based Research, Qualitative Empirical Research","Emission inventory, Company target analysis, Upstream analysis, Downstream analysis",,NewClimate Institute,,,,,Broad,Abstract too short,smeets_2022.pdf,smeets_2022.png,Matched,Global,,
"The Role of Education in the Fight Against Desertification: A Case Study of M’hamid el Ghizlane, Morocco",Bo Maeijer,2022.0,,Kei Otsuki,,"Over 40% of the world’s land surface is covered by semi-arid and arid environments, which are home to over one billion people. These environments are subject to desertification, with Africa being heavily affected. This research focuses on M’hamid el Ghizlane, a town threatened by desertification, leading to land degradation and displacement. Migration is viewed as an adaptation strategy. The study examines international and national initiatives against desertification, emphasizing education as a tool for behavioral change and technical knowledge. Document analysis and a case study using interviews and observations were employed to gather data on the relationship between education and desertification.","What is the role of education in the fight against desertification in M’hamid el Ghizlane, Morocco?",4 - Quality Education,Education is essential for shaping behavior and providing technical knowledge to combat desertification effectively.,"M’hamid el Ghizlane, Morocco",Local,Ecology & Biodiversity,"desertification, education, land degradation, migration, displacement","Literature-Based Research, Qualitative Empirical Research","Document analysis, Case study, Interviews, Observations",,,,M’hamid el Ghizlane,29.827329,-5.723878,City,,maeijer_2022.pdf,maeijer_2022.png,Matched,Morocco,29.827329,-5.723878
Seeding a new future? The role of the state in agroecological transitions,"Carolina Costa de Souza, Bsc.",2022.0,Earth Systems Governance,Giuseppe Feola,Heitor Teixeira,"The negative impacts of modern industrial agriculture are widely recognized in academic literature, supported by growing calls for systemic change. It has become clear to rural citizens and social movements that public policies designed to foster the Green Revolution model have subjected them to external technological and monetary dependency while degrading the environment and human health. Therefore, calls for an agroecological transition have now spread among scientists, international organizations and the broader civil society. This research investigates the state's role in agroecological transitions through a case study in Brazil from 2012-2019, revealing that while the state can foster cooperation and innovation, its support is fragile and must be rooted in deeper policies to ensure sustainable transformations.",What role does the state play in agroecological transitions?,2 - Zero Hunger,This SDG applies as the research focuses on agroecological transitions aimed at transforming food systems and enhancing food security.,Brazil,National,Governance & Policy,"Agroecology, ecofeminism, political economy, role of the state, agroecological sustainability transitions",Mixed Methods Research,"Case study, Literature review, Interviews",Ecofeminism,,,Brazil,-10.333333,-53.2,Country,,souza_2022.pdf,souza_2022.png,Matched (content),Brazil,-10.333333,-53.2
An Intersectional Assessment of Energy Poverty Among Migrant Groups in Germany,Hannah Galster,2022.0,International Development,Alberto Alonso Fradejas,Kei Otsuki,"This thesis investigates energy poverty among migrant groups in Germany, aiming to understand the intersectional factors that contribute to this issue. The research employs a mixed methods approach, including literature review, interviews, surveys, and case reports to gather data. The findings reveal that first-generation migrants face unique challenges related to energy access, influenced by socio-economic status, discrimination, and policy inadequacies. The study highlights the need for targeted interventions to address energy injustices and improve support measures for vulnerable populations.",What are the intersectional factors contributing to energy poverty among migrant groups in Germany?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on energy poverty, highlighting the need for equitable access to energy resources for marginalized communities.",Germany,National,Energy & Climate,"Energy Poverty, Migrant Groups, Germany, Intersectional Assessment, Energy Justice","Literature-Based Research, Qualitative Empirical Research","Literature review, Interviews, Survey, Case Reports","Energy Justice, Intersectionality",Oeko-Institut Berlin,Consumer Advice Centre in Rhineland-Palatine,Germany,51.163818,10.447831,Country,Abstract too short,galster_2022.pdf,galster_2022.png,Matched,Germany,51.163818,10.447831
"Compounding Disasters, Disaster Vulnerability and Disaster Management: A Case Study of Breast Cancer Patients in Puerto Rico Incorporating the Social Determinants of Health to Build Resilient Communities",Sophie Bernadette Mazur,2022.0,International Development,Ajay Bailey,Dora Sampaio,"This thesis explores the impact of compounding disasters on breast cancer patients in Puerto Rico, focusing on the social determinants of health (SDH) that contribute to disaster vulnerability. The aim is to analyze how these factors affect disaster management strategies and healthcare access for this population. A mixed methods approach was employed, including media analysis, semi-structured stakeholder interviews, and case studies with breast cancer patients. The findings reveal significant gaps in disaster management implementation and highlight the need for integrating SDH into resilience-building efforts.",How do social determinants of health influence disaster vulnerability and management for breast cancer patients in Puerto Rico?,3 - Good Health and Well-Being,"This SDG is relevant as the research addresses health disparities faced by breast cancer patients in the context of disasters, emphasizing the need for improved healthcare access and disaster management.",Puerto Rico,Local,Social Justice & Equity,"Breast Cancer, Disaster Management, Social Determinants of Health, Resilience, Puerto Rico",Mixed Methods Research,"Media analysis, Semi-structured interviews, Case study",Social Determinants of Health,,,Puerto Rico,18.224771,-66.485829,Country,Abstract too short,mazur_2022.pdf,mazur_2022.png,Matched,United States,18.224771,-66.485829
Attitude change of residents towards large carnivores in the Czech Beskydy Mountains,Nina Opdam,2022.0,,Ine Dorresteijn,Britta Ricker,"The Eurasian lynx, grey wolf and brown bear are making a comeback in Europe, leading to potential conflicts with humans. This study aimed to investigate attitude changes towards these large carnivores in the Czech Beskydy Mountains over 22 years. A case study was conducted, collecting data through 120 questionnaires in 2022, comparing attitudes from 2000 and 2010. Findings indicate a shift towards more positive attitudes, driven by emotions, existence beliefs, perceived costs, and benefits. However, coexistence was perceived to have shifted towards conflict due to increased carnivore numbers and human disturbance. Recommendations for wildlife management include leveraging these drivers for tolerance.",How have local attitudes towards large carnivores in the Czech Beskydy Mountains changed over the past 22 years?,15 - Life on Land,"This research addresses the coexistence of humans and large carnivores, contributing to the sustainable management of terrestrial ecosystems and biodiversity.",Czech Republic,Local,Ecology & Biodiversity,,Mixed Methods Research,"Questionnaires, Quantitative analysis, Qualitative data analysis, Case study",,,Friends of the Earth Czech Republic,Czech Republic,49.743905,15.338106,Country,,opdam_2022.pdf,opdam_2022.png,Matched,Czech Republic,49.743905,15.338106
The Effects of Short-termism on Sectoral Problem Shifting,Thomas Gruben,2022.0,Earth Systems Governance,Dr. Rakhyun E. Kim,Dr. Sander Chan,"This thesis examines the concept of sectoral problem shifting within multilateral environmental agreements, focusing on the influence of short-termism. The objective is to identify the conditions that enable problems to shift from one environmental domain to another. A systematic literature review indicates that short-termism may lead to the neglect of long-term consequences, resulting in the displacement of environmental issues. A case study analysis of the Montreal and Kyoto Protocols is conducted to explore this phenomenon. Findings suggest that short-termism among delegates may have facilitated the shift of focus from ozone depletion to climate change, highlighting the need for a broader discussion on the enabling conditions of sectoral problem shifting.",How has short-termism influenced the occurrence of sectoral problem shifting from the Montreal Protocol toward the Kyoto Protocol?,13 - Climate Action,"The research addresses the interlinkages between environmental agreements and the impact of short-termism on climate change, making it relevant to the goal of climate action.",Global,Global/International,Governance & Policy,"Sectoral Problem Shifting, Enabling Conditions, Short-termism, Multilateral Environmental Agreement, Ozone Depletion, Climate Change","Literature-Based Research, Qualitative Empirical Research",Case study analysis,,,,,,,Broad,,gruben_2022.pdf,gruben_2022.png,Matched,Global,,
Optimising Research Uptake: The Success Conditions for Research Uptake Toward NGOs - The Case of Coral Reef Management,Elisavet Diamantopoulou,2022.0,,Frank van Laerhoven,Tatiana Acevedo Guerrero,"This thesis explores the concept of research uptake, focusing on its role in bridging the science-practice divide in coral reef conservation. The aim is to identify the conditions that facilitate optimal uptake of scientific knowledge by NGOs involved in coral reef management. Through twenty-five interviews with NGOs globally, the research employs a framework from the UK Department for International Development. Findings indicate that successful research uptake hinges on clear agreements, internal capacity building, tailored communication, and a simple monitoring framework.",What are the conditions for optimal uptake of scientific knowledge by NGOs in the specific context of coral reef management?,14 - Life Below Water,"This SDG is relevant as the research focuses on coral reef management, which is critical for marine biodiversity and ecosystem health.",Global,Global/International,Ecology & Biodiversity,,Qualitative Empirical Research,Interviews,,,,,,,Broad,Abstract too short,diamantopoulou_2022.pdf,diamantopoulou_2022.png,Matched,Global,,
Acoustic Monitoring of Temperate Mesophotic Ecosystems: Assessing the Reliability of Acoustic Indices in Marine Ecosystems,,2022.0,,Angeles Garcia-Mayor,,"Temperate Mesophotic Ecosystems have both economic and ecological importance, however, they are currently understudied and scarcely protected, leaving them vulnerable to anthropogenic and environmental disturbances. This study analysed the soundscape of two mesophotic ecosystems in the central coast of Chile to assess the reliability of acoustic indices in marine ecosystems by comparing them with diversity measures based on environmental DNA (eDNA). The research found substantial differences between indices, with some reflecting species richness well, and highlighted significant variability in diversity near a Marine Protected Area.",,,,central coast of Chile,,,,"Qualitative Empirical Research, Quantitative Empirical Research","Principal component analysis, Counting, characterisation of fish sounds, Calculation of indices, Statistical analysis",,Pontificia Catholic University of Chile,,,,,Broad,"Missing Research Question, Missing SDG, Abstract too short",nan_2022.pdf,nan_2022.png,Matched (content),Chile,,
Using the AudioMoth - a novel passive acoustic monitoring technology - to monitor bat diversity in a rewilded landscape,Koen Pronk,2022.0,Environmental Change and Ecosystems,Joris Cromsigt,Ine Dorresteijn,"Ecosystem restoration through the reintroduction of grazers is gaining interest across Europe. Large herbivores are associated with landscape heterogeneity, restoration of trophic cascades and biodiversity. This study explores the use of AudioMoth technology to monitor bat diversity in different habitat types. The research assesses detection probabilities and the impact of habitat on bat genera presence. Findings indicate that clutter reduces detection probability, and certain bat genera are more likely to be detected in specific habitats. The study provides insights for monitoring rewilding projects and establishes a baseline for future research in Het Groene Woud.",How does habitat type affect the detection probabilities of bat genera using AudioMoth technology in a rewilded landscape?,15 - Life on Land,"This study contributes to understanding biodiversity and ecosystem restoration, which are essential for achieving sustainable land management and conservation.","Het Groene Woud, Netherlands",Local,Ecology & Biodiversity,"AudioMoth, bat diversity, rewilding, passive acoustic monitoring, biodiversity indicators",Qualitative Empirical Research,"Field recordings, Statistical analysis",,Brabants Landschap,,Het Groene Woud,51.494513,3.612961,Broad,Abstract too short,pronk_2022.pdf,pronk_2022.png,Matched,Netherlands,51.494513,3.612961
A tale of two deltas Unpacking the aquaculture-salinity interface in the Kaveri and Mekong Delta,Richard Pompoes,2022.0,International Development,Janwillem Liebrand,Andres Verzijl,"Brackish water shrimp aquaculture is a major commercial practice in the Kaveri Delta, India and the Mekong Delta, Vietnam. Various bodies of literature report environmental and social sustainability concerns revolving around salinity associated with shrimp aquaculture in the two deltas. This study aims to provide the first step toward rethinking aquaculture and delta management by understanding how professionals at the policy level translate ground level realities into policy and planning. A qualitative study was conducted, inspired by Actor-Network Theory, analyzing six sub-cases that highlight key controversies revolving around salinity. The results indicate that policy level framings of salinity are reductive and do not reflect the diversity of salinity understandings, which can feed into inequities.",How do professionals at the policy level translate ground level realities into policy and planning regarding salinity in aquaculture?,14 - Life Below Water,"This SDG applies as the study addresses sustainability issues in aquaculture, which directly impacts marine ecosystems and water quality.","Kaveri Delta, India and Mekong Delta, Vietnam",Local,Ecology & Biodiversity,,Qualitative Empirical Research,"Interviews, Literature, Document analysis, Media analysis, maps",Actor-Network Theory,,,Kaveri Delta,,,Broad,,pompoes_2022.pdf,pompoes_2022.png,Matched,India; Vietnam,22.351115|15.926666,78.667743|107.965086
SCIENCE & PRACTICE: THE CASE STUDY OF CORAL REEF CONSERVATION & SEWAGE POLLUTION IN CURAÇAO,Elise Leiser,2022.0,Earth Systems Governance,Frank Laerhoven,Peter Driessen,"Much research is being conducted on environmental issues but more knowledge does not necessarily lead to more decisions that take into account such knowledge. A low research uptake can therefore be a threat to ecosystems. An example is research going on about coral reefs and pollution in Curaçao. Coral reefs are vibrant ecosystems and provide many services. They support the economy and protect the coasts. However, they are declining as many hazards threaten them such as sewage that pours out into the sea. Scientific research is being conducted on that topic, but a major issue is the insufficient uptake of research by the policy sphere and the civil society to adopt environmental friendly decisions and behaviours. This master thesis is embedded in the SEALINK project, which aims at understanding how pollution such as sewage impacts the coral reef in Curaçao, and more precisely to its work package on research uptake strategies.",,14 - Life Below Water,This SDG applies as the research focuses on coral reef conservation and the impact of sewage pollution on marine ecosystems.,Curaçao,Local,Ecology & Biodiversity,"Research uptake, Curaçao, sewage, corals",Qualitative Empirical Research,Interviews,,,,Curaçao,12.117649,-68.930926,Broad,Missing Research Question,leiser_2022.pdf,leiser_2022.png,Matched,Netherlands,12.117649,-68.930926
Anti-capitalist grassroots initiatives’ uses of Cultural Politics to engage with Past and Future visions,Sandrine Birkeland,2022.0,Earth Systems Governance,Dr. Giuseppe Feola,Pr. Joost Vervoort,"Modern capitalist societies are widely recognised as socially and environmentally unsustainable. Technological and scientific advances are insufficient to solve the climate and ecological crises that we face. Instead, structural, cultural and social changes are needed within Western societies. This study examines anti-capitalist grassroots initiatives’ engagement with the past and future through cultural practices in their attempt to unmake capitalism. A multiple case study analysis was performed on four anti-capitalist grassroots initiatives in Europe. The results show that the studied initiatives engage significantly with cultural politics of unmaking in relation to the future and past, making important uses of popularisation to spread their visions to society.",,,,Europe,Regional,Social Justice & Equity,"Collective memory, cultural politics, unmaking of capitalism, anti-capitalist grassroots initiatives, future visions","Mixed Methods Research, Qualitative Empirical Research","Multiple case study, Critical Discourse Analysis of Interviews, Website, Critical Visual Methodology","Anti-capitalism, Anti-capitalist grassroots initiatives, Cultural politics, Prefigurative politics, Collective memories",,,,,,Broad,"Missing Research Question, Missing SDG",birkeland_2022.pdf,birkeland_2022.png,Matched,Europe,,
Institutionalising Leaving No One Behind: a meta-analysis on worldwide national effort,EILEEN DE JONG,2022.0,Earth Systems Governance,Marjanneke Vijge,Sander Chan,"This thesis explores the concept of 'Leaving No One Behind' (LNOB) through a meta-analysis of national efforts worldwide. The aim is to identify how different countries institutionalize LNOB in their policies and practices. A qualitative methodology is employed, analyzing various national voluntary reviews (VNRs) to assess the effectiveness of these efforts. The findings reveal significant variations in the understanding and implementation of LNOB, highlighting the importance of policy coherence, inclusive participation, and dedicated finance in achieving equitable outcomes.",How are national efforts to institutionalize Leaving No One Behind (LNOB) reflected in voluntary national reviews (VNRs) across different countries?,10 - Reduced Inequalities,"This SDG is relevant as the thesis focuses on ensuring that all individuals, particularly marginalized groups, are included in national policies and practices, addressing inequalities.",Global,Global/International,Governance & Policy,"Leaving No One Behind, institutionalisation, national efforts, meta-analysis, policy coherence",Qualitative Empirical Research,Meta-analysis,,,,,,,Broad,Abstract too short,jong_2022.pdf,jong_2022.png,Matched,Global,,
Food in Transition: The Role of Food Culture in Niche Innovation Success,Susanna Potestio,2022.0,Earth Systems Governance,Dr. Frank Laerhoven,,"This research investigates the role of food culture in sustainability transitions, particularly in the context of plant-based meat substitutes (PBMSs) in Italy and the Netherlands. The aim is to enhance the applicability of transitions theory to the food sector by integrating food culture theory. A comparative case study was conducted, involving 10 semi-structured interviews with experts from both countries. The findings reveal that food culture significantly influences the development and diffusion of PBMSs, affecting niche-regime compatibility and shaping food transitions. The study concludes that food culture plays a crucial role in determining which niches can emerge and how they interact with existing regimes.",How does food culture influence niche innovation success in the context of plant-based meat substitutes?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on the development and diffusion of plant-based meat substitutes, which are integral to promoting sustainable consumption patterns in the food sector.","Italy, Netherlands",Local,Circular Economy & Production,,Qualitative Empirical Research,"Comparative case study, Semi-structured interviews","Multi-Level Perspective, Strategic Niche Management",,,Italy,42.638426,12.674297,Country,,potestio_2022.pdf,potestio_2022.png,Matched,Italy; Netherlands,42.638426|52.243498,12.674297|5.634323
TAKING ROOT: A GROUNDED APPROACH TO SCIENCE COMMUNICATION FOR SEALINK CURAÇAO,Tabita Houtman,2022.0,Earth Systems Governance,Dries Hegger,Carel Dieperink,"Communicating research findings to a lay public comes with a range of challenges, as can be seen in the considerable literature on Science Communication (SC). Part of the issue is a lack of an empirically-based understanding of the communication context, such as audience characteristics or situational barriers. This research aims to fill this theoretical gap by identifying good practices for a grounded approach to science communication. A case study of the SEALINK project, which studies reef growth in the Dutch Caribbean, illustrates the approach. Key findings include the value of interviewing individuals from multiple actor categories and conducting street interviews, enriching the findings and providing a comprehensive understanding of the communication context.",What good practices can be identified for a grounded approach to science communication?,4 - Quality Education,"This research contributes to improving science communication, which is essential for educating the public and enhancing understanding of scientific issues.",Curaçao,Local,Governance & Policy,"science communication, grounded approach, SEALINK, communication strategies, laypersons","Literature-Based Research, Qualitative Empirical Research","Case study, Interviews, Participant observation",,,,Curaçao,12.117649,-68.930926,Country,,houtman_2022.pdf,houtman_2022.png,Matched (content),Netherlands,12.117649,-68.930926
Assessment of hydrological response on reforestation in the Atlantic Forest of Brazil,Debora Đermadi,2022.0,Environmental Change and Ecosystems,"Anna Duden, Rens van Beek",,"This thesis investigates the hydrological changes resulting from reforestation in the Atlantic Forest of Brazil. The aim is to quantify the impact of increased forest cover on hydrological parameters such as evapotranspiration, groundwater recharge, soil moisture, and discharge. The methodology involves the use of the PCR-GLOBWB 2.0 model to simulate different reforestation scenarios. The findings indicate that increased forest cover leads to significant changes in hydrological responses, with implications for water availability and ecosystem services.",What are marginal changes of the hydrological response as a result of increased forest cover?,15 - Life on Land,"This study addresses the importance of forest ecosystems in maintaining biodiversity and regulating water cycles, which aligns with the goals of sustainable land management and restoration.",Brazil,Local,Ecology & Biodiversity,,Modelling & Systems Approaches,PCR-GLOBWB 2.0 model,,,,Atlantic Forest,-23.7159,-46.4066,Broad,Abstract too short,ermadi_2022.pdf,ermadi_2022.png,Matched,Brazil,-23.7159,-46.4066
Applying Intersectionality Theory to Pluvial Flood Risk: An empirical analysis of social vulnerability to urban pluvial flooding in Europe,Peppi Boesler,2022.0,Environmental Change and Ecosystems,Murray Scown,Carel Dieperink,"This research investigates the impacts of pluvial flooding in European urban areas, focusing on social vulnerabilities related to climate justice. The study aims to develop an intersectional vulnerability index (IVI) that incorporates ten dimensions of social vulnerabilities. Using statistical analysis, the IVI is applied to two case studies to identify districts with high social vulnerabilities and flood exposure. The findings reveal the compounding effects of intersecting discriminations on flood impacts and provide recommendations for enhancing social justice in flood risk management.",How can intersectionality theory be applied to understand and address social vulnerabilities in urban pluvial flood risk management?,11 - Sustainable Cities and Communities,"The research addresses urban flooding and social vulnerabilities, highlighting the need for inclusive and equitable flood risk management in cities.",Europe,Regional,Governance & Policy,"pluvial flooding, intersectionality, climate justice, urban, Europe","Qualitative Empirical Research, Quantitative Empirical Research","Statistical analysis, Composite index construction, Spatial analysis",Intersectionality,,,,,,Broad,Abstract too short,boesler_2022.pdf,boesler_2022.png,Matched,Europe,,
Unravelling the Greenhouse Gas Emissions of Household Consumption: A Decomposition Analysis of the Netherlands Between 2000-2019,Gergő M. Sütő,2022.0,,Robert Harmsen,Wina Crijns-Graus,"This study examined the relationship between climate change and household consumption in the Netherlands. During the period 2000-2019, the direct and indirect greenhouse gas emissions attributable to Dutch household expenditures were reduced from 151.7 to 127.1 MtCO2e. The study aimed at understanding to what extent socioeconomic factors contributed to this reduction of emissions. Five driving factors were selected to be evaluated: population, household size, household demand, demand structure, and emission intensity. A combination of environmentally-extended input-output analysis and decomposition analysis was utilised to quantify each driver’s impact on household GHG emissions. The results indicate that the estimated -24.6 Mt reduction of emissions was facilitated by three drivers and counterbalanced by two of them.",,,,Netherlands,National,Energy & Climate,"GHG emissions, household consumption, decomposition analysis, environmentally-extended input-output analysis, the Netherlands",Mixed Methods Research,"Decomposition analysis, environmentally-extended input-output analysis",,,,Netherlands,52.243498,5.634323,Country,"Missing Research Question, Missing SDG",suto_2022.pdf,suto_2022.png,Matched,Netherlands,52.243498,5.634323
Regeneration at the Coast: Benefits beyond Blue Carbon A New Framework for Impact Assessment of Mangrove Restoration,Thyrza Zoons,2022.0,Environmental Change and Ecosystems,"Prof. Dr. Detlef van Vuuren, Dr. Andries Hof, Dr. Murray Scown, Drs. Hanny van Hout, MM Eelco Leemans",,"This thesis explores the impact assessment of mangrove restoration, focusing on the benefits beyond blue carbon. The aim is to develop a new framework for evaluating the effectiveness of mangrove restoration projects. The methodology includes interviews and case studies to identify key indicators for assessing the impact of restoration efforts. The findings reveal that a comprehensive assessment framework can enhance the understanding of mangrove restoration's ecological and social benefits.",How can a new framework for impact assessment improve the evaluation of mangrove restoration projects?,13 - Climate Action,"Mangrove restoration contributes to climate action by enhancing carbon sequestration and supporting biodiversity, thus addressing climate change impacts.",Bonaire,Local,Ecology & Biodiversity,,Qualitative Empirical Research,"Interviews, Case study",,Climate Cleanup,"OLB, STINAPA Bonaire",Bonaire,12.167,-68.287644,Broad,Abstract too short,zoons_2022.pdf,zoons_2022.png,Matched,Netherlands,12.167,-68.287644
